"question","answer","correct_feedback","incorrect_feedback","hint","difficulty"
"美國的首都在哪裡?","華盛頓","答對了！","是華盛頓特區","Washington","hard"
"水的化學式是什麼?","H2O","正確！","是 H2O","兩個氫一個氧","hard"
"世界最大的洋是什麼?","太平洋","沒錯！","是太平洋","Pacific","hard"
"人體共有幾塊骨頭?","206","答對了！","成人有 206 塊","兩百多","hard"
"太陽系中離太陽最近的行星?","水星","正確！","是水星","Mercury","hard"
"蒙娜麗莎是誰畫的?","達文西","答對了！","是李奧納多·達文西","Da Vinci","hard"
"水的沸點是幾度C?","100","正確！","是 100 度","沸騰","hard"
"世界上最高的山峰是?","聖母峰","沒錯！","是聖母峰(珠穆朗瑪峰)","Everest","hard"
"鑽石是由什麼元素構成的?","碳","答對了！","是碳元素","C","hard"
"日本的首都在哪裡?","東京","正確！","是東京","Tokyo","hard"
"光的三原色是紅、藍和?","綠","答對了！","是綠色","Green","hard"
"奧運五環中黃色代表哪一洲?","亞洲","沒錯！","是亞洲","Asia","hard"
"蜘蛛有幾隻腳?","8","答對了！","是 8 隻","比昆蟲多","hard"
"一小時有幾秒?","3600","正確！","60x60","三千六","hard"
"鋼琴有幾個琴鍵?","88","答對了！","標準是 88 鍵","八十八","hard"
"太陽從哪邊升起?","東邊","答對了！","是東邊喔","East","easy"
"一年有幾個月?","12","正確！","是 12 個月","一打","easy"
"水結冰會變成什麼?","冰","沒錯！","是冰塊","Ice","easy"
"蘋果是什麼顏色的?","紅色","答對了！","通常是紅色的","Red","easy"
"小狗怎麼叫?","汪汪","正確！","汪汪叫","Woof","easy"
"1+1等於多少?","2","答對了！","是 2","手指頭數一下","easy"
"過馬路要看什麼燈?","紅綠燈","沒錯！","交通號誌","Traffic Light","easy"
"這顆星球叫什麼名字?","地球","答對了！","我們住的地方","Earth","easy"
"人有幾隻眼睛?","2","正確！","兩隻眼睛","Two","easy"
"魚在哪裡游泳?","水裡","答對了！","在水中","Water","easy"
